instant,dteday,season,year,month,hour,holiday,weekday,workingday,weather situation,temp,atemp,humidity,windspeed,casual,registered,count_cr,time_of_day,windspeed_category
1,2011-01-01,Spring,2011,Jan,0.0,0,Saturday,0,Clear,0.24,0.2879,0.81,0.0,3,13,16,Malam,Angin Ringan
2,2011-01-01,Spring,2011,Jan,1.0,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,8,32,40,Malam,Angin Ringan
3,2011-01-01,Spring,2011,Jan,2.0,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,5,27,32,Malam,Angin Ringan
4,2011-01-01,Spring,2011,Jan,3.0,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,3,10,13,Malam,Angin Ringan
5,2011-01-01,Spring,2011,Jan,4.0,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,0,1,1,Malam,Angin Ringan
6,2011-01-01,Spring,2011,Jan,5.0,0,Saturday,0,Misty,0.24,0.2576,0.75,0.0896,0,1,1,Malam,Angin Ringan
7,2011-01-01,Spring,2011,Jan,6.0,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,2,0,2,Pagi,Angin Ringan
8,2011-01-01,Spring,2011,Jan,7.0,0,Saturday,0,Clear,0.2,0.2576,0.86,0.0,1,2,3,Pagi,Angin Ringan
9,2011-01-01,Spring,2011,Jan,8.0,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,1,7,8,Pagi,Angin Ringan
10,2011-01-01,Spring,2011,Jan,9.0,0,Saturday,0,Clear,0.32,0.3485,0.76,0.0,8,6,14,Pagi,Angin Ringan
11,2011-01-01,Spring,2011,Jan,10.0,0,Saturday,0,Clear,0.38,0.3939,0.76,0.2537,12,24,36,Pagi,Angin Sedang
12,2011-01-01,Spring,2011,Jan,11.0,0,Saturday,0,Clear,0.36,0.3333,0.81,0.2836,26,30,56,Pagi,Angin Sedang
13,2011-01-01,Spring,2011,Jan,12.0,0,Saturday,0,Clear,0.42,0.4242,0.77,0.2836,29,55,84,Siang,Angin Sedang
14,2011-01-01,Spring,2011,Jan,13.0,0,Saturday,0,Misty,0.46,0.4545,0.72,0.2985,47,47,94,Siang,Angin Sedang
15,2011-01-01,Spring,2011,Jan,14.0,0,Saturday,0,Misty,0.46,0.4545,0.72,0.2836,35,71,106,Siang,Angin Sedang
16,2011-01-01,Spring,2011,Jan,15.0,0,Saturday,0,Misty,0.44,0.4394,0.77,0.2985,40,70,110,Siang,Angin Sedang
17,2011-01-01,Spring,2011,Jan,16.0,0,Saturday,0,Misty,0.42,0.4242,0.82,0.2985,41,52,93,Sore,Angin Sedang
18,2011-01-01,Spring,2011,Jan,17.0,0,Saturday,0,Misty,0.44,0.4394,0.82,0.2836,15,52,67,Sore,Angin Sedang
19,2011-01-01,Spring,2011,Jan,18.0,0,Saturday,0,Light_rainsnow,0.42,0.4242,0.88,0.2537,9,26,35,Sore,Angin Sedang
20,2011-01-01,Spring,2011,Jan,19.0,0,Saturday,0,Light_rainsnow,0.42,0.4242,0.88,0.2537,6,31,37,Malam,Angin Sedang
21,2011-01-01,Spring,2011,Jan,20.0,0,Saturday,0,Misty,0.4,0.4091,0.87,0.2537,11,25,36,Malam,Angin Sedang
22,2011-01-01,Spring,2011,Jan,21.0,0,Saturday,0,Misty,0.4,0.4091,0.87,0.194,3,31,34,Malam,Angin Ringan
23,2011-01-01,Spring,2011,Jan,22.0,0,Saturday,0,Misty,0.4,0.4091,0.94,0.2239,11,17,28,Malam,Angin Sedang
24,2011-01-01,Spring,2011,Jan,23.0,0,Saturday,0,Misty,0.46,0.4545,0.88,0.2985,15,24,39,Malam,Angin Sedang
25,2011-01-02,Spring,2011,Jan,0.0,0,Sunday,0,Misty,0.46,0.4545,0.88,0.2985,4,13,17,Malam,Angin Sedang
26,2011-01-02,Spring,2011,Jan,1.0,0,Sunday,0,Misty,0.44,0.4394,0.94,0.2537,1,16,17,Malam,Angin Sedang
27,2011-01-02,Spring,2011,Jan,2.0,0,Sunday,0,Misty,0.42,0.4242,1.0,0.2836,1,8,9,Malam,Angin Sedang
28,2011-01-02,Spring,2011,Jan,3.0,0,Sunday,0,Misty,0.46,0.4545,0.94,0.194,2,4,6,Malam,Angin Ringan
29,2011-01-02,Spring,2011,Jan,4.0,0,Sunday,0,Misty,0.46,0.4545,0.94,0.194,2,1,3,Malam,Angin Ringan
30,2011-01-02,Spring,2011,Jan,6.0,0,Sunday,0,Light_rainsnow,0.42,0.4242,0.77,0.2985,0,2,2,Pagi,Angin Sedang
31,2011-01-02,Spring,2011,Jan,7.0,0,Sunday,0,Misty,0.4,0.4091,0.76,0.194,0,1,1,Pagi,Angin Ringan
32,2011-01-02,Spring,2011,Jan,8.0,0,Sunday,0,Light_rainsnow,0.4,0.4091,0.71,0.2239,0,8,8,Pagi,Angin Sedang
33,2011-01-02,Spring,2011,Jan,9.0,0,Sunday,0,Misty,0.38,0.3939,0.76,0.2239,1,19,20,Pagi,Angin Sedang
34,2011-01-02,Spring,2011,Jan,10.0,0,Sunday,0,Misty,0.36,0.3485,0.81,0.2239,7,46,53,Pagi,Angin Sedang
35,2011-01-02,Spring,2011,Jan,11.0,0,Sunday,0,Misty,0.36,0.3333,0.71,0.2537,16,54,70,Pagi,Angin Sedang
36,2011-01-02,Spring,2011,Jan,12.0,0,Sunday,0,Misty,0.36,0.3333,0.66,0.2985,20,73,93,Siang,Angin Sedang
37,2011-01-02,Spring,2011,Jan,13.0,0,Sunday,0,Misty,0.36,0.3485,0.66,0.1343,11,64,75,Siang,Angin Ringan
38,2011-01-02,Spring,2011,Jan,14.0,0,Sunday,0,Light_rainsnow,0.36,0.3485,0.76,0.194,4,55,59,Siang,Angin Ringan
39,2011-01-02,Spring,2011,Jan,15.0,0,Sunday,0,Light_rainsnow,0.34,0.3333,0.81,0.1642,19,55,74,Siang,Angin Ringan
40,2011-01-02,Spring,2011,Jan,16.0,0,Sunday,0,Light_rainsnow,0.34,0.3333,0.71,0.1642,9,67,76,Sore,Angin Ringan
